Region,Country,City,mean_PM10,Year,Number and location,Temporal coverage,Reference,,,,,,,,,,,,,,,,,,
,,,ug/m3,, of stations,(%),,,,,,,,,,,,,,,,,,,
AmrHI,Canada,Hope,10,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Houston,15,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Kamloops,16,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Kelowna,15,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Kingston,21,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Kitchener,21,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Kitimat,9,2008,1 urban residential and 2 unknown stations,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Lethbridge,11,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,London,20,2008,1 Urban Commercial station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Mackenzie ,8,2008,1 unknown station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Medicine Hat,10,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Metro Vancouver,12,2008,5 Urban residential  and 5 unknown stations,NA,"Ministry of Environment (personal communication, November 2011)",,,,,,,,,,,,,,,,,,
AmrHI,Canada,Moncton,18,2008,1 urban residential station,NA,"Ministry of Environment (personal communication, November 2011), calculated from PM2.5",,,,,,,,,,,,,,,,,,
